name,weight,percentage
가,1,3.74281E-07
가가,1,3.74281E-07
가개,1,3.74281E-07
가건,5,1.8714E-06
가겸,13,4.86565E-06
가경,17,6.36278E-06
가곤,1,3.74281E-07
가관,1,3.74281E-07
가굉,4,1.49712E-06
가국,1,3.74281E-07
가권,1,3.74281E-07
가귀,2,7.48562E-07
가균,2,7.48562E-07
가나,2,7.48562E-07
가나안,1,3.74281E-07
가남,1,3.74281E-07
가누루웰린,1,3.74281E-07
가담,2,7.48562E-07
가대,2,7.48562E-07
가덕,1,3.74281E-07
가도,1,3.74281E-07
가돌,1,3.74281E-07
가득,7,2.61997E-06
가람,1758,0.000657986
가람딕슨,1,3.74281E-07
가람레오,1,3.74281E-07
가람별,1,3.74281E-07
가람빛,1,3.74281E-07
가람솔,1,3.74281E-07
가람수,1,3.74281E-07
가람슬기,2,7.48562E-07
가람찬,1,3.74281E-07
가람해,1,3.74281E-07
가람휘,13,4.86565E-06
가랑,2,7.48562E-07
가량,3,1.12284E-06
가려,1,3.74281E-07
가렬,2,7.48562E-07
가령,1,3.74281E-07
가로,1,3.74281E-07
가록,2,7.48562E-07
가론,18,6.73706E-06
가론소안,1,3.74281E-07
가룡,2,7.48562E-07
가루,1,3.74281E-07
가륜,8,2.99425E-06
가률,13,4.86565E-06
가름,3,1.12284E-06
가리온,1,3.74281E-07
가린,2,7.48562E-07
가림,18,6.73706E-06
가립,1,3.74281E-07
가명,4,1.49712E-06
가무,1,3.74281E-07
가문,1,3.74281E-07
가미오,1,3.74281E-07
가민,101,3.78024E-05
가밀,1,3.74281E-07
가배,2,7.48562E-07
가범,5,1.8714E-06
가별,6,2.24569E-06
가부리엘,1,3.74281E-07
가브렐민국,1,3.74281E-07
가브리엘,40,1.49712E-05
가브리엘강,1,3.74281E-07
가브리엘동일,1,3.74281E-07
가브리엘레위,1,3.74281E-07
가브리엘루이아서,1,3.74281E-07
가브리엘마크,1,3.74281E-07
가브리엘민서,1,3.74281E-07
가브리엘민수,1,3.74281E-07
가브리엘민우,1,3.74281E-07
가브리엘수인,1,3.74281E-07
가브리엘안드레,1,3.74281E-07
가브리엘알렉시스상혁,1,3.74281E-07
가브리엘영,1,3.74281E-07
가브리엘온누리,1,3.74281E-07
가브리엘우빈,1,3.74281E-07
가브리엘웨즐리,1,3.74281E-07
가브리엘유진,2,7.48562E-07
가브리엘율,1,3.74281E-07
가브리엘이튼,1,3.74281E-07
가브리엘장,1,3.74281E-07
가브리엘지성,1,3.74281E-07
가브리엘진,1,3.74281E-07
가브리엘코반,1,3.74281E-07
가브리엘프렌시스,1,3.74281E-07
가브리엘프리드리히에프라임종현,1,3.74281E-07
가브리엘한,1,3.74281E-07
가비,6,2.24569E-06
가비안,1,3.74281E-07
가빈,254,9.50674E-05
가빈애디슨,1,3.74281E-07
가빈우진,1,3.74281E-07
가빈이,1,3.74281E-07
가빈일라이,1,3.74281E-07
가빈크리스찬명,1,3.74281E-07
가빛,1,3.74281E-07
가사,1,3.74281E-07
가서,1,3.74281E-07
가석,1,3.74281E-07
가선,1,3.74281E-07
가섭,1,3.74281E-07
가성,8,2.99425E-06
가송,1,3.74281E-07
가수,5,1.8714E-06
가순,1,3.74281E-07
가스테르마사,1,3.74281E-07
가스파르설줄,1,3.74281E-07
가스파르성대니코라,1,3.74281E-07
가스히데,1,3.74281E-07
가승,2,7.48562E-07
가시프,1,3.74281E-07
가신,1,3.74281E-07
가안,3,1.12284E-06
가앙,1,3.74281E-07
가앨,1,3.74281E-07
가야,8,2.99425E-06
가얀,1,3.74281E-07
가양,2,7.48562E-07
가언,13,4.86565E-06
가얼,1,3.74281E-07
가에타노,1,3.74281E-07
가엘,41,1.53455E-05
가엘레오나르도,1,3.74281E-07
가엘별아,1,3.74281E-07
가엘수,1,3.74281E-07
가엘태윤,1,3.74281E-07
가연,4,1.49712E-06
가열,3,1.12284E-06
가영,3,1.12284E-06
가예,2,7.48562E-07
가온,3951,0.001478784
가온누리,20,7.48562E-06
가온데이빗,1,3.74281E-07
가온들찬빛,1,3.74281E-07
가온비,1,3.74281E-07
가온빛,1,3.74281E-07
가온사무엘,1,3.74281E-07
가온울,1,3.74281E-07
가온주드,1,3.74281E-07
가온찬,1,3.74281E-07
가온찬빛,1,3.74281E-07
가완,3,1.12284E-06
가왕,1,3.74281E-07
가용,6,2.24569E-06
가우,7,2.61997E-06
가욱,4,1.49712E-06
가운,38,1.42227E-05
가울,2,7.48562E-07
가움,2,7.48562E-07
가웅,2,7.48562E-07
가원,133,4.97794E-05
가위,1,3.74281E-07
가윈아마셔,1,3.74281E-07
가유,2,7.48562E-07
가윤,39,1.4597E-05
가율,167,6.25049E-05
가은,20,7.48562E-06
가을,310,0.000116027
가음,3,1.12284E-06
가응,1,3.74281E-07
가의,1,3.74281E-07
가이,13,4.86565E-06
가이나,1,3.74281E-07
가이또,1,3.74281E-07
가이어스신유,1,3.74281E-07
가이치,1,3.74281E-07
가이토,2,7.48562E-07
가인,19,7.11134E-06
가일,10,3.74281E-06
가전,1,3.74281E-07
가정,1,3.74281E-07
가제,1,3.74281E-07
가준,37,1.38484E-05
가즈끼,1,3.74281E-07
가지,2,7.48562E-07
가진,21,7.8599E-06
가쯔히또,1,3.74281E-07
가차,1,3.74281E-07
가창,2,7.48562E-07
가철,1,3.74281E-07
가쿠,1,3.74281E-07
가쿠마,1,3.74281E-07
가태,1,3.74281E-07
가평,1,3.74281E-07
가하,1,3.74281E-07
가한,35,1.30998E-05
가함,1,3.74281E-07
가항,2,7.48562E-07
가행,1,3.74281E-07
가헌,56,2.09597E-05
가혁,13,4.86565E-06
가현,130,4.86565E-05
가협,1,3.74281E-07
가형,12,4.49137E-06
가호,25,9.35702E-06
가혼,1,3.74281E-07
가홍,5,1.8714E-06
가화,2,7.48562E-07
가환,10,3.74281E-06
가후,4,1.49712E-06
가후이,1,3.74281E-07
가훈,19,7.11134E-06
가훤,3,1.12284E-06
가휘,5,1.8714E-06
가휼,2,7.48562E-07
가흔,2,7.48562E-07
가흠,9,3.36853E-06
가희,7,2.61997E-06
가히,1,3.74281E-07
각,3,1.12284E-06
각규,1,3.74281E-07
각기,1,3.74281E-07
각률,1,3.74281E-07
각현,2,7.48562E-07
간니,1,3.74281E-07
간랑,1,3.74281E-07
간수,1,3.74281E-07
간야,1,3.74281E-07
