place_name,whether_calculated,is_people,pred_is_people,predicted_name
,0,0,0,
(유)한국맥,1,0,0,
(주)24시전,1,0,0,
(주)JBSDLA  ,1,0,0,
(주)교보문,1,0,0,
(주)뉴코아,1,0,0,
(주)랜드에,1,0,0,
(주)로히,1,0,0,
(주)롯데리,1,0,0,
(주)리드코,1,0,0,
(주)비지에,1,0,0,
(주)서울랜,1,0,0,
(주)서울오,1,0,0,
(주)소담푸,1,0,0,
(주)슈거마,1,0,0,
(주)신농민,1,0,0,
(주)신세계,1,0,0,
(주)아트박,1,0,0,
(주)안양밴,1,0,0,
(주)에스엠,1,0,0,
(주)에스엠디롯데리,1,0,0,
(주)영풍문,1,0,0,
(주)이마트,1,0,0,
(주)이비카,1,0,0,
(주)지마켓,1,0,0,
(주)지에스,1,0,0,
(주)카카오,1,0,0,
(주)커피빈,1,0,0,
(주)컴퓨존,1,0,0,
(주)케이에,1,0,0,
(주)코리아,1,0,0,
(주)프로유,1,0,0,
(주비케이알,1,0,0,
(학)일송학,1,0,0,
11054449494,0,0,0,
20369201004,0,0,0,
20369201035,0,0,0,
20369205019,0,0,0,
20369206040,0,0,0,
088CD3009321,0,0,0,
088CD3015610,0,0,0,
088CD3030475,0,0,0,
96011164682,0,0,0,
24시누름돌생,0,0,0,
32신교대대,1,0,0,
365스마일약 ,1,0,0,
3.84E+11,0,0,0,
5.92E+11,0,0,0,
6.39E+237,0,0,0,
639007**232507-14  ,0,0,0,
6.39E+11,0,0,0,
ByteDance,1,0,0,
CGV범계,1,0,0,
CGV용산아이 ,1,0,0,
D포토,1,0,0,
GS25논산역점,1,0,0,
GS25산본경원,1,0,0,
GS25상주낙동,1,0,0,
GS25수원시티,1,0,0,
GS25안양진성,1,0,0,
GS25안양행복,1,0,0,
GS25일산동국,1,0,0,
GS25평촌길목,1,0,0,
GS25평촌타워,1,0,0,
GS25평촌한솖,1,0,0,
GS25평촌한솥,1,0,0,
GS25평촌한양,1,0,0,
GS25필동점,1,0,0,
GS25해운제이,1,0,0,
GS25호계뉴타,1,0,0,
GS25호계점,1,0,0,
KB국민카드_ ,0,0,0,
KB스펙환불,0,0,0,
KB증권LGCNS ,0,0,0,
KB증권오픈,0,0,0,
KB증권와이제,0,0,0,
KB증권이건민,0,1,0,
KB증권제일엔,0,0,0,
KB증권제일엠,0,0,0,
KB체크할인,0,0,0,
KCP(결제대행,0,0,0,
KFC안양호계,1,0,0,
KOCES_자판기,0,0,0,
KOCES결제대 ,0,0,0,
KSNET대표H_1,0,0,0,
KS넷(대표),0,0,0,
LGCNS환불,0,0,0,
lg씨엔에스매,0,0,0,
LS매도,0,0,0,
NETFLIX_INIC,0,0,0,
NICE(빌링),0,0,0,
NICE(빌링)_4,0,0,0,
PCPRESSOPC방,1,0,0,
PC테라스,1,0,0,
PLAYPC(플레 ,1,0,0,
SKPAY대표,0,0,0,
STORMPC,1,0,0,
WOWPC(와우피,1,0,0,
WOWPC(와우피씨),1,0,0,
가위사랑헤어,1,0,0,가위사
가향,1,0,0,
감성스터디카,1,0,0,감성스
감탄,1,0,0,
감탄생고기,1,0,0,감탄생
