name,weight,percentage
가,2,7.91303E-07
가가,1,3.95652E-07
가결,2,7.91303E-07
가겸,6,2.37391E-06
가경,335,0.000132543
가교,3,1.18695E-06
가귀,1,3.95652E-07
가금,2,7.91303E-07
가기,2,7.91303E-07
가나,81,3.20478E-05
가나견,1,3.95652E-07
가나노,1,3.95652E-07
가나미,1,3.95652E-07
가나에,2,7.91303E-07
가나요,1,3.95652E-07
가나자,5,1.97826E-06
가나코,1,3.95652E-07
가나혜,1,3.95652E-07
가날,1,3.95652E-07
가남,5,1.97826E-06
가내,2,7.91303E-07
가녕,4,1.58261E-06
가노꼬,1,3.95652E-07
가노에,1,3.95652E-07
가노하,1,3.95652E-07
가논,2,7.91303E-07
가농,2,7.91303E-07
가뉴,1,3.95652E-07
가능,1,3.95652E-07
가니야자흐,1,3.95652E-07
가단,4,1.58261E-06
가담,4,1.58261E-06
가대,3,1.18695E-06
가대자,4,1.58261E-06
가도,1,3.95652E-07
가득,4,1.58261E-06
가득샘,1,3.95652E-07
가든,5,1.97826E-06
가라,1,3.95652E-07
가락,1,3.95652E-07
가란,44,1.74087E-05
가람,2218,0.000877555
가람다원,1,3.95652E-07
가람솔,1,3.95652E-07
가람슬기,3,1.18695E-06
가람클레어,1,3.95652E-07
가람휘,8,3.16521E-06
가랑,6,2.37391E-06
가량,14,5.53912E-06
가런스정언,1,3.95652E-07
가려,3,1.18695E-06
가련,9,3.56086E-06
가렴,2,7.91303E-07
가령,575,0.0002275
가로,2,7.91303E-07
가록,3,1.18695E-06
가론,5,1.97826E-06
가륜,39,1.54304E-05
가률,52,2.05739E-05
가르드노서,1,3.95652E-07
가르시아,1,3.95652E-07
가르시아사유리,1,3.95652E-07
가름,19,7.51738E-06
가리,4,1.58261E-06
가리나,2,7.91303E-07
가린,236,9.33738E-05
가림,421,0.000166569
가묘,1,3.95652E-07
가미,15,5.93477E-06
가민,894,0.000353713
가방,1,3.95652E-07
가배,1,3.95652E-07
가별,23,9.09999E-06
가보,4,1.58261E-06
가본,3,1.18695E-06
가봄,4,1.58261E-06
가붕,1,3.95652E-07
가브라엘라옥토,1,3.95652E-07
가브리엘,4,1.58261E-06
가브리엘라,8,3.16521E-06
가브리엘라나리,1,3.95652E-07
가브리엘라시현,1,3.95652E-07
가브리엘맥신,1,3.95652E-07
가브리엘메리아나,1,3.95652E-07
가브리엘서윤,1,3.95652E-07
가브리엘아나,1,3.95652E-07
가브리엘최말리아,1,3.95652E-07
가브리엘현서,1,3.95652E-07
가비,107,4.23347E-05
가빈,3373,0.001334533
가빛,1,3.95652E-07
가생,1,3.95652E-07
가서,1,3.95652E-07
가선,3,1.18695E-06
가설,1,3.95652E-07
가섭,1,3.95652E-07
가성,1,3.95652E-07
가세,3,1.18695E-06
가솔,6,2.37391E-06
가송,2,7.91303E-07
가수,4,1.58261E-06
가수미,2,7.91303E-07
가숙,1,3.95652E-07
가순,2,7.91303E-07
가슬,3,1.18695E-06
가신,1,3.95652E-07
가실,2,7.91303E-07
가심,2,7.91303E-07
가아,2,7.91303E-07
가안,6,2.37391E-06
가암,1,3.95652E-07
가앙리,1,3.95652E-07
가애,44,1.74087E-05
가애랑,1,3.95652E-07
가야,52,2.05739E-05
가야김,1,3.95652E-07
가야마들렌,1,3.95652E-07
가야솔루나,1,3.95652E-07
가야아영,1,3.95652E-07
가야제이,1,3.95652E-07
가얀이사벨,1,3.95652E-07
가양,14,5.53912E-06
가어,1,3.95652E-07
가언,193,7.63608E-05
가에,1,3.95652E-07
가엘,61,2.41347E-05
가여,5,1.97826E-06
가연,5543,0.002193097
가연빅토리아,1,3.95652E-07
가열,2,7.91303E-07
가염,2,7.91303E-07
가엽,1,3.95652E-07
가영,4614,0.001825537
가영자,1,3.95652E-07
가예,193,7.63608E-05
가오루,1,3.95652E-07
가옥,1,3.95652E-07
가온,5256,0.002079545
가온누리,21,8.30868E-06
가온마리,1,3.95652E-07
가온별,2,7.91303E-07
가온엘리자베스,1,3.95652E-07
가온찬별,1,3.95652E-07
가온해,3,1.18695E-06
가와,2,7.91303E-07
가용,2,7.91303E-07
가우,4,1.58261E-06
가운,49,1.93869E-05
가울,6,2.37391E-06
가움,3,1.18695E-06
가원,1373,0.00054323
가원오데뜨,1,3.95652E-07
가월,2,7.91303E-07
가유,13,5.14347E-06
가유이사벨,1,3.95652E-07
가윤,6408,0.002535336
가율,1704,0.00067419
가은,13812,0.00546474
가은로사,1,3.95652E-07
가은리즈,1,3.95652E-07
가은비,1,3.95652E-07
가은빛,1,3.95652E-07
가을,2203,0.000871621
가을별,2,7.91303E-07
가을빛,2,7.91303E-07
가을이,2,7.91303E-07
가을크리스,1,3.95652E-07
가을하늘,2,7.91303E-07
가음,69,2.73E-05
가의,11,4.35217E-06
가이,118,4.66869E-05
가이린,1,3.95652E-07
가이아,4,1.58261E-06
가이아리,1,3.95652E-07
가이아모아,1,3.95652E-07
가이아서,1,3.95652E-07
가이야정,1,3.95652E-07
가이카일이,1,3.95652E-07
가인,2812,0.001112572
가인루이즈,1,3.95652E-07
가일,12,4.74782E-06
가임,13,5.14347E-06
가자,10,3.95652E-06
가잘,1,3.95652E-07
가정,6,2.37391E-06
가주,2,7.91303E-07
가준,1,3.95652E-07
가즈미,1,3.95652E-07
가지,2,7.91303E-07
가직,1,3.95652E-07
가진,72,2.84869E-05
가진이칼키,1,3.95652E-07
가채,2,7.91303E-07
가청,1,3.95652E-07
가하,8,3.16521E-06
가한,9,3.56086E-06
가함,1,3.95652E-07
가항,1,3.95652E-07
가해,5,1.97826E-06
가향,12,4.74782E-06
가헌,39,1.54304E-05
가현,5686,0.002249675
가형,101,3.99608E-05
가혜,139,5.49956E-05
가호,5,1.97826E-06
가홍,1,3.95652E-07
가화,7,2.76956E-06
가환,1,3.95652E-07
가회,2,7.91303E-07
가효,2,7.91303E-07
가후,2,7.91303E-07
가훈,1,3.95652E-07
가훤,3,1.18695E-06
가휘,16,6.33043E-06
가휼,1,3.95652E-07
가흔,174,6.88434E-05
가흘,2,7.91303E-07
가흠,3,1.18695E-06
가희,2014,0.000796842
가희바네사,1,3.95652E-07
가희빅토리아,1,3.95652E-07
가희애슐리,1,3.95652E-07
가히,4,1.58261E-06
각경,1,3.95652E-07
간,1,3.95652E-07
간나,13,5.14347E-06
간름,1,3.95652E-07
간리,3,1.18695E-06
간아,1,3.95652E-07
간앙,1,3.95652E-07
간어,1,3.95652E-07
간자,1,3.95652E-07
간화,1,3.95652E-07
갈반하나,1,3.95652E-07
갈티어,1,3.95652E-07
감,1,3.95652E-07
감귤,1,3.95652E-07
감나,4,1.58261E-06
감비,6,2.37391E-06
감사,2,7.91303E-07
감서,1,3.95652E-07
감송,1,3.95652E-07
감원,1,3.95652E-07
감희,1,3.95652E-07
갑,1,3.95652E-07
갑경,2,7.91303E-07
갑민,1,3.95652E-07
갑분,1,3.95652E-07
갑비,1,3.95652E-07
갑숙,1,3.95652E-07
갑식,1,3.95652E-07
갑영,1,3.95652E-07
